GICS Type,GICS Sector,Portfolio Weight,Benchmark Weight,Portfolio Return,Benchmark Return,Period,Fund,Benchmark
Sensitive,Communication,0.0881,0.0844,-0.1257,-0.1336,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Cyclical,Consumer Discret.,0.0654,0.0603,0.0204,-0.0281,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Defensive,Consumer Staples,0.0485,0.0715,-0.0317,-0.0627,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Sensitive,Energy,0.0592,0.0742,0.0623,0.0303,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Cyclical,Financials,0.179,0.1978,0.0082,-0.0335,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Defensive,Health Care,0.1833,0.1672,-0.0694,-0.0568,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Sensitive,Industrials,0.109,0.1009,-0.0297,-0.0455,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Sensitive,IT,0.1183,0.0916,-0.0593,-0.0825,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Cyclical,Materials,0.0201,0.0415,-0.139,-0.0801,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Cyclical,Real Estate,0.0497,0.0504,-0.0796,-0.1052,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Defensive,Utilities,0.0578,0.0602,-0.0955,-0.0571,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Defensive,Cash,0.0216,0,0.0065,0,1/31/2022 to 3/31/2022,Portfolio Value,Benchmark Value
Sensitive,Communication,0.0548,0.0747,-0.0436,0.0231,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Cyclical,Consumer Discret.,0.0733,0.061,0.1407,0.1303,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Defensive,Consumer Staples,0.0542,0.0728,0.1388,0.1476,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Sensitive,Energy,0.0727,0.0854,0.1478,0.2279,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Cyclical,Financials,0.1856,0.202,0.0986,0.1325,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Defensive,Health Care,0.184,0.1705,0.1317,0.123,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Sensitive,Industrials,0.1074,0.1041,0.1711,0.1853,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Sensitive,IT,0.1213,0.085,0.0879,0.0598,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Cyclical,Materials,0.0208,0.0427,0.1668,0.1812,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Cyclical,Real Estate,0.0497,0.0453,0.1046,0.0401,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Defensive,Utilities,0.0528,0.0565,0.1046,0.0862,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Defensive,Cash,0.0234,0,0.01,0,4/1/2022 to 6/30/2022,Portfolio Value,Benchmark Value
Sensitive,Communication,0.0488,0.0807,0.1198,0.1988,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Cyclical,Consumer Discret.,0.0705,0.0621,0.021,0.0538,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Defensive,Consumer Staples,0.0537,0.0708,-0.011,-0.0002,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Sensitive,Energy,0.0705,0.0809,-0.0772,-0.045,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Cyclical,Financials,0.1994,0.2012,-0.0375,-0.0544,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Defensive,Health Care,0.1705,0.1649,-0.032,-0.0552,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Sensitive,Industrials,0.1078,0.106,-0.0157,0.0378,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Sensitive,IT,0.1293,0.088,0.195,0.1427,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Cyclical,Materials,0.0224,0.0444,0.0658,0.0525,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Cyclical,Real Estate,0.0545,0.0458,0.0294,0.0192,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Defensive,Utilities,0.0544,0.0552,-0.0211,-0.0317,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Defensive,Cash,0.0182,0,0.0112,0,7/1/2022 to 9/30/2022,Portfolio Value,Benchmark Value
Sensitive,Communication,0.0518,0.0855,0.115,0.1118,10/1/2022 to 12/31/2022,Portfolio Value,Benchmark Value
Cyclical,Consumer Discret.,0.071,0.0616,-0.0197,0.0667,10/1/2022 to 12/31/2022,Portfolio Value,Benchmark Value
Defensive,Consumer Staples,0.0473,0.0745,-0.0043,0.0143,10/1/2022 to 12/31/2022,Portfolio Value,Benchmark Value
Sensitive,Energy,0.0747,0.0783,0.0098,-0.0082,10/1/2022 to 12/31/2022,Portfolio Value,Benchmark Value
Cyclical,Financials,0.1985,0.1907,0.0688,0.0565,10/1/2022 to 12/31/2022,Portfolio Value,Benchmark Value
